kalimat_id,kata,sense,kalimat,freq
1002454,mengejar,2801,"Hal ini cukup memprihatikan karena mereka hanya mengejar gaji besar tanpa mempertimbangan risiko, sebuah ironi yang lebih memprihatikan banyak dari TKI dan TKW asal desa clumprit merupakan lulusan perguruan tinggi.Sektor pertanian hanya dikerjakan oleh generasi tua dan buruh tani yang didatangkan dari desa tetangga.",1
1002454,mengejar,2802,"Hal ini cukup memprihatikan karena mereka hanya mengejar gaji besar tanpa mempertimbangan risiko, sebuah ironi yang lebih memprihatikan banyak dari TKI dan TKW asal desa clumprit merupakan lulusan perguruan tinggi.Sektor pertanian hanya dikerjakan oleh generasi tua dan buruh tani yang didatangkan dari desa tetangga.",2
1002566,mengejar,2801,Dia mengejar Nami di Desa Kokoyashi.,1
1002566,mengejar,2801,mengejar Nami di Desa Kokoyashi.,2
1003958,mengeluarkan,2901,"Dalam perdagangan Kesultanan Pasai mengeluarkan koin emas sebagai alat transaksi pada masyarakatnya, mata uang ini disebut ""Deureuham"" (dirham) yang dibuat 70% emas murni dengan berat 0.60 gram, diameter 10 mm, mutu 17 karat.",1
1003958,mengeluarkan,2902,"Dalam perdagangan Kesultanan Pasai mengeluarkan koin emas sebagai alat transaksi pada masyarakatnya, mata uang ini disebut ""Deureuham"" (dirham) yang dibuat 70% emas murni dengan berat 0.60 gram, diameter 10 mm, mutu 17 karat.",1
1003958,mengeluarkan,2902,"Dalam perdagangan Kesultanan Pasai mengeluarkan koin emas sebagai alat transaksi pada masyarakatnya, mata uang ini disebut Deureuham.",1
1003963,mengeluarkan,2902,"Visa tidak mengeluarkan kartu, memperpanjang kredit atau menetapkan tarif dan biaya untuk konsumen.",1
1003963,mengeluarkan,2902,"Visa tidak mengeluarkan kartu, memperpanjang kredit atau menetapkan tarif dan biaya untuk konsumen; sebaliknya, Visa menyediakan lembaga keuangan dengan produk pembayaran bermerek Visa yang kemudian mereka gunakan untuk menawarkan program kredit, debit, prabayar, dan akses tunai kepada pelanggan mereka.",2
1004109,mengeluarkan,2902,"Pada tahun 2012, untuk mengangkat perekonomian Kabupaten Kulonprogo, Hasto Wardoyo meluncurkan program ""Bela & Beli Kulonprogo"".Gerakan dimulai dengan mengeluarkan kebijakan yang mewajibkan pelajar dan PNS di sana mengenakan seragam batik gebleg renteng, batik khas Kulonprogo, pada hari tertentu.",2
1004109,mengeluarkan,2905,"Gerakan dimulai dengan mengeluarkan kebijakan yang mewajibkan pelajar dan PNS di sana mengenakan seragam batik gebleg renteng, batik khas Kulonprogo, pada hari tertentu.",1
1004651,mengeluarkan,2902,Stalin mengeluarkan Perintah GKO No. 227.,1
1004651,mengeluarkan,2902,"Stalin mengeluarkan Perintah GKO No. 5859ss, yang menghimpun pemindahan Tatar Krimea.",1
1004651,mengeluarkan,2902,"Stalin mengeluarkan Perintah GKO No.5859ss, yang berisi tentang pemindahan orang-orang Tatar Krimea",1
1004781,mengeluarkan,2901,"Ia memimpin pertandingan antara Trinidad dan Tobago melawan Swedia, mengeluarkan kartu merah pertama di turnamen ini kepada Pemain Trinidad dan Tobago, Avery John.",2
1004781,mengeluarkan,2902,"Ia memimpin pertandingan antara Trinidad dan Tobago melawan Swedia, mengeluarkan kartu merah pertama di turnamen ini kepada Pemain Trinidad dan Tobago, Avery John.",1
1004932,mengeluarkan,2901,"Ahli sihir Firaun masing-masing mengeluarkan keajaiban, ada antara mereka melempar tali lalu menjadi ular.",1
1004932,mengeluarkan,2902,"Ahli sihir Firaun masing-masing mengeluarkan keajaiban, ada antara mereka melempar tali lalu menjadi ular.",2
1006399,mengeluarkan,2901,Perusahaan ini dianggap sebagai perusahaan multinasional pertama di dunia sekaligus merupakan perusahaan pertama yang mengeluarkan sistem pembagian saham.,1
1006399,mengeluarkan,2902,Perusahaan ini dianggap sebagai perusahaan multinasional pertama di dunia sekaligus merupakan perusahaan pertama yang mengeluarkan sistem pembagian saham.,2
1006400,mengeluarkan,2902,"Kailmain mengeluarkan sejumlah keputusan dan undang-undang yang terpisah ""Capitula de Iudeis"" yang mengatur posisi orang-orang Yahudi di Hongaria.",1
1006400,mengeluarkan,2902,"Kailman mengeluarkan sejumlah keputusan dan undang-undang yang terpisah ""Capitula de Iudeis""yang mengatur posisi orang-orang Yahudi di Hongaria.",1
1006400,mengeluarkan,2902,"Kalman mengeluarkan sejumlah keputusan dan undang-undang yang terpisah ""Capitula de Iudeis""yang mengatur posisi orang-orang Yahudi di Hongaria.",1
1006454,mengeluarkan,2901,"Kamu menempatkan kepalamu di dalam mulut serigala dan mengeluarkannya lagi dengan selamat; itu yang menjadi hadiah bagimu.",1
1006454,mengeluarkan,2901,"Namun, saat burung jenjang menanyai hadiahnya, Serigala menjawab, ""Kamu menempatkan kepalamu di dalam mulut serigala dan mengeluarkannya lagi dengan selamat; itu yang menjadi hadiah bagimu.""",2
1006483,mengeluarkan,2902,Pada 26 Desember 1995 Presiden Soeharto mengeluarkan Keppres No. 82 mengenai Proyek Pengembangan Lahan Gambut (PLG) Satu Juta Hektar di Kalimantan Tengah. ,1
1006483,mengeluarkan,2902,Pada 26 Desember 1995 Presiden Soeharto mengeluarkan Keppres No.90,1
1006483,mengeluarkan,2905,Pada 26 Desember 1995 Presiden Soeharto mengeluarkan Keppres No. 82 mengenai Proyek Pengembangan Lahan Gambut (PLG) Satu Juta Hektar di Kalimantan Tengah,1
1006784,mengeluarkan,2901,"Pada tahun 1871, pemerintah kota Banjarmasin mengeluarkan segel izin pembuatan Rumah Bubungan Tinggi di kampung Sungai Jingah yang merupakan rumah tertua yang pernah dikeluarkan segelnya.",1
1006784,mengeluarkan,2902,"Pada tahun 1871, pemerintah kota Banjarmasin mengeluarkan segel izin pembuatan Rumah Bubungan Tinggi di kampung Sungai Jingah yang merupakan rumah tertua yang pernah dikeluarkan segelnya.",2
1006993,mengeluarkan,2902,"Pada tahun 1993, Parlemen Belgia mengeluarkan ""undang-undang yurisdiksi universal"" yang mengizinkan pengadilan Belgia untuk menghakimi mereka yang melakukan kejahatan perang, kejahatan terhadap kemanusiaan atau genosida.",2
1006993,mengeluarkan,2905,"Pada tahun 1993, Parlemen Belgia mengeluarkan undang-undang yurisdiksi universal yang mengizinkan pengadilan Belgia untuk menghakimi mereka yang melakukan kejahatan perang, kejahatan terhadap kemanusiaan atau genosida.",1
1007800,mengeluarkan,2901,"Dan ketika Son Goku sudah mulai terpojok, akhirnya Gohan yang masih berusia 4 tahun itu marah dan mengeluarkan seluruh tenaganya (angka di ""scouter"" menunjukkan ranga di atas 1000).",1
1007800,mengeluarkan,2905,"Ketika Son Goku sudah mulai terpojok, akhirnya Gohan yang masih berusia 4 tahun itu marah dan mengeluarkan seluruh tenaganya.",1
1007800,mengeluarkan,2906,"Dan ketika Son Goku sudah mulai terpojok, akhirnya Gohan yang masih berusia 4 tahun itu marah dan mengeluarkan seluruh tenaganya (angka di ""scouter"" menunjukkan ranga di atas 1000).",1
1007814,mengeluarkan,2902,Arsyil berhasil berkarya dalam dunia kepenulisan dengan mengeluarkan 2 buku motivasi mengenai kehidupan.,1
1007814,mengeluarkan,2902,"Berbagilah sebanyak mungkin dan pertanggungjawabkanlah kehidupan ini"", kini Arsyil berhasil berkarya dalam dunia kepenulisan dengan mengeluarkan 2 buku motivasi mengenai kehidupan.",2
1007834,mengeluarkan,2902,"Setelah sukses mengeluarkan single Damai Wayang kembali merilis single mereka pada tahun 2015 dengan kembali mendaur ulang lagu mereka yang berjudul Jangan Kau Pergi, dan ditahun ini Wayang pun kedatangan keyboardis bernama Angga mengisi sebelumnya posisi Wahyu Adrianto, Angga sempat beberapa tahun sebagai Additional Musician dan juga mengisi pada rekaman lagu ""Damai"".",2
1007834,mengeluarkan,2902,Setelah sukses mengeluarkan single Damai Wayang kembali merilis single mereka pada tahun 2015.,1
1008802,mengeluarkan,2902,"Di tahun 749, Aethelbald mengeluarkan carter yang membebaskan wilayah-wilayah Eklesiologi dari semua kewajiban kecuali kebutuhan untuk membangun benteng dan jembatan kewajiban yang terletak di atas semua orang, sebagai bagian dari Trinoda necessitas.",1
1008802,mengeluarkan,2902,"Di tahun 749, Æthelbald mengeluarkan carter yang membebaskan wilayah-wilayah Eklesiologi dari semua kewajiban kecuali kebutuhan untuk membangun benteng dan jembatan – kewajiban yang terletak di atas semua orang, sebagai bagian dari Trinoda necessitas.",1
1008802,mengeluarkan,2905,"Di tahun 749, Æthelbald mengeluarkan carter yang membebaskan wilayah-wilayah Eklesiologi dari semua kewajiban kecuali kebutuhan untuk membangun benteng dan jembatan – kewajiban yang terletak di atas semua orang, sebagai bagian dari Trinoda necessitas.",1
1008953,mengeluarkan,2902,"Sejak terbentuk, mereka telah mengeluarkan 4 album yaitu ""A Fresh Start for Something New"", ""Killing Me Inside"", ""One Reason"" dan ""Rebirth: A New Beginning"".",1
1008953,mengeluarkan,2902,"Sejak terbentuk, mereka telah mengeluarkan 4 album yaitu ""A Fresh Start for Something New"", ""Killing Me Inside"", ""One Reason"".",1
1008953,mengeluarkan,2902,"Sejak terbentuk, mereka telah mengeluarkan 4 album.",1
1009294,mengeluarkan,2901,"Ketika Musa keesokan harinya masuk ke dalam kemah hukum itu, maka tampaklah tongkat Harun dari keturunan Lewi telah bertunas, mengeluarkan kuntum, mengembangkan bunga dan berbuahkan buah badam.",2
1009294,mengeluarkan,2902,"Ketika Musa keesokan harinya masuk ke dalam kemah hukum itu, maka tampaklah tongkat Harun dari keturunan Lewi telah bertunas, mengeluarkan kuntum, mengembangkan bunga dan berbuahkan buah badam.",1
1009468,mengeluarkan,2902,"Bulan September 2010 ia mengeluarkan CD+DVD yang direkam secara langsung di Teatro Lope de Vega di Sevilla untuk merayakan 15 tahun kariernya sebagai penyanyi, ""15 Años"".",1
1009468,mengeluarkan,2902,"Bulan September 2010 ia mengeluarkan CD+DVD yang direkam secara langsung di Teatro Lope de Vega di Sevilla untuk merayakan 15 tahun kariernya sebagai penyanyi, ""15 Aos"".",1
1009468,mengeluarkan,2902,Bulan September 2010 ia mengeluarkan CD+DVD yang direkam secara langsung di Teatro Lope de Vega di Sevilla untuk merayakan 15 tahun kariernya sebagai penyanyi.,1
1009772,mengikat,2202,Pasangan muda-mudi dari Galela dan Tobelo ada yang datang ke telaga ini untuk saling mengikat janji.,2
1009772,mengikat,2203,Pasangan muda-mudi dari Galela dan Tobelo ada yang datang ke telaga ini untuk saling mengikat janji.,1
1009810,mengikat,2201,Ada banyak kebiasaan sebagai cara untuk mengikat tzitzit.,2
1009810,mengikat,2301,Ada banyak kebiasaan sebagai cara untuk mengikat tzitzit.,1
1009833,mengikat,2201,"Perakarannya yang baik dan dapat mengikat nitrogen, mampu membantu memperbaiki kesuburan tanah.",1
1009833,mengikat,2204,"Perakarannya yang baik dan dapat mengikat nitrogen, mampu membantu memperbaiki kesuburan tanah.",2
1009871,mengikat,2202,"Sesaat sebelum pertempuran, ia berkata kepada Yudistira bahwa dirinya telah diperbudak oleh kekayaan, dan dengan kekayaannya Korawa mengikat Bisma.",2
1009871,mengikat,2203,"Sesaat sebelum pertempuran, ia berkata kepada Yudistira bahwa dirinya telah diperbudak oleh kekayaan, dan dengan kekayaannya Korawa mengikat Bisma.",1
1009951,mengikat,2204,Kelompok bakteri ini biasanya bersimbiosis dengan tanaman kacang-kacangan dan polong untuk membentuk suatu simbiosis mutualisme berupa nodul atau bintil akar untuk mengikat nitrogen bebas di udara yang pada umumnya tidak dapat digunakan secara langsung oleh kebanyakan organisme.,2
1009951,mengikat,2301,Kelompok bakteri ini biasanya bersimbiosis dengan tanaman kacang-kacangan dan polong untuk membentuk suatu simbiosis mutualisme berupa nodul atau bintil akar untuk mengikat nitrogen bebas di udara yang pada umumnya tidak dapat digunakan secara langsung oleh kebanyakan organisme.,1
1009988,mengikat,2201,Hidroksamat yang telah dipakai akan ditranspor ke luar sel untuk mengikat ion logam besi lainnya.,1
1009988,mengikat,2204,Hidroksamat yang telah dipakai akan ditranspor ke luar sel untuk mengikat ion logam besi lainnya.,2
1010027,mengikat,2201,Peter ke tenda Doyle dan menemukan bahwa Sylar mengikat dengan kemampuan telekinesis pada tubuh Doyle.,2
1010027,mengikat,2301,Peter ke tenda Doyle dan menemukan bahwa Sylar mengikat dengan kemampuan telekinesis pada tubuh Doyle.,1
1010123,mengikat,2201,"Oleh karena itu, pemendekan rantai hidrofobik dapat mengakibatkan poliena dapat mengikat kolesterol, sehingga toksik untuk hewan.",1
1010123,mengikat,2204,"Oleh karena itu, pemendekan rantai hidrofobik dapat mengakibatkan poliena dapat mengikat kolesterol, sehingga toksik untuk hewan.",2
1010145,mengikat,2202,"Sebab lain termasuk sejarah dan budaya sebelumnya juga mengikat Kroasia, seperti Slovenia, ke Eropa Tengah dan daerah Laut Tengah lebih daripada mereka terikat pada Balkan.",1
1010145,mengikat,2203,"Sebab lain termasuk sejarah dan budaya sebelumnya juga mengikat Kroasia, seperti Slovenia, ke Eropa Tengah dan daerah Laut Tengah lebih daripada mereka terikat pada Balkan.",2
1010162,mengikat,2201,"Binding domain ortosterik memiliki homologi yang tinggi pada tiap subtipenya, hal ini membuat sulit untuk mendapatkan agonis atau antagonis yang dapat mengikat pada sutipe tertentu.",1
1010162,mengikat,2202,"Binding domain ortosterik memiliki homologi yang tinggi pada tiap subtipenya, hal ini membuat sulit untuk mendapatkan agonis atau antagonis yang dapat mengikat pada sutipe tertentu.",1
1010162,mengikat,2204,"Binding domain ortosterik memiliki homologi yang tinggi pada tiap subtipenya, hal ini membuat sulit untuk mendapatkan agonis atau antagonis yang dapat mengikat pada sutipe tertentu.",1
1010240,mengikat,2201,"Sebagai glukokortikoid, struktur lipofilik prednisolon memungkinkan untuk memudahkan melewati membran sel kemudian mengikat masing-masing reseptor glukokortikoid (GCR) yang terletak di sitoplasma.",1
1010240,mengikat,2204,"Sebagai glukokortikoid, struktur lipofilik prednisolon memungkinkan untuk memudahkan melewati membran sel kemudian mengikat masing-masing reseptor glukokortikoid (GCR) yang terletak di sitoplasma.",1
1010240,mengikat,2301,"Sebagai glukokortikoid, struktur lipofilik prednisolon memungkinkan untuk memudahkan melewati membran sel kemudian mengikat masing-masing reseptor glukokortikoid (GCR) yang terletak di sitoplasma.",1
1010272,mengikat,2202,"Sumpah setia atas kesediaan untuk menjadi petani budak tidak hanya mengikat dirinya saja, tetapi juga keturunannya.",1
1010272,mengikat,2203,"Sumpah setia atas kesediaan untuk menjadi petani budak tidak hanya mengikat dirinya saja, tetapi juga keturunannya.",2
1010295,mengikat,2203,Fokus utama novel ini adalah cerita di dalam dunia alternatif Amerika Serikat di mana bisnis swasta menderita sebagai akibat hukum dan perundang-undangan yang terlalu mengikat dan kaku.,2
1010295,mengikat,2303,Fokus utama novel ini adalah cerita di dalam dunia alternatif Amerika Serikat di mana bisnis swasta menderita sebagai akibat hukum dan perundang-undangan yang terlalu mengikat dan kaku.,1
1010340,mengikat,2201,"Hasilnya menunjukkan bahwa reaksi enzimatik dapat berperilaku dengan cara yang melanggar persamaan Michaelis-Menten klasik, dan bahwa peran yang tidak mengikat dalam katalisis enzimatik masih harus ditentukan secara eksperimental.",1
1010340,mengikat,2204,"Hasilnya menunjukkan bahwa reaksi enzimatik dapat berperilaku dengan cara yang melanggar persamaan Michaelis-Menten klasik, dan bahwa peran yang tidak mengikat dalam katalisis enzimatik masih harus ditentukan secara eksperimental.",2
1010401,mengikat,2203,"Sebagian biaya Musdes adalah dari pendapatan desa yang bisa berasal dari beragam sumber, antara lain ‘""hibah dan sumbangan yang tidak mengikat dari pihak ketiga’"".",1
1010401,mengikat,2203,"Sebagian biaya Musdes adalah dari pendapatan desa yang bisa berasal dari beragam sumber, antara lain ‘hibah dan sumbangan yang tidak mengikat dari pihak ketiga’.",1
1010401,mengikat,2303,"Sebagian biaya Musdes adalah dari pendapatan desa yang bisa berasal dari beragam sumber, antara lain hibah dan sumbangan yang tidak mengikat dari pihak ketiga"".",1
1010433,mengikat,2203,"PyQt adalahlintas platform GUI perangkatQtyang mengikat padaPython, diimplementasikan sebagaiplug-in.",1
1010433,mengikat,2203,"PyQt adalah lintas platform GUI perangkat Qt yang mengikat pada Python, diimplementasikan sebagai plug-in.",1
1010433,mengikat,2205?,"PyQt adalah lintas platform GUI perangkat Qt yang mengikat pada Python, diimplementasikan sebagai plug-in.",1
1010444,mengikat,2201,"Karena merasa ditantang, Tino pun mengikat tangan Arie.",2
1010444,mengikat,2301,"Karena merasa ditantang, Tino pun mengikat tangan Arie.",1
1010448,mengikat,2202,"Memorandum of Understanding tak mengikat yang ditandatangani April 2006, memberikan konsesi operasi jaringan KCR ke MTRCL selama 50 tahun.",1
1010448,mengikat,2203,"Memorandum of Understanding tak mengikat yang ditandatangani April 2006, memberikan konsesi operasi jaringan KCR ke MTRCL selama 50 tahun.",2
1010569,mengikat,2202,"Pendapat berbeda umumnya berada dalam hukum peradilan tingkat tinggi adalah pendapat dari satu atau lebih, dari hakim dalam membuat pernyataan yang memperlihatan ketidaksetujuan terhadap putusan penghakiman dari mayoritas hakim dalam majelis hakim yang membuat keputusan penghakiman di dalam sebuah sidang pengadilan, pendapat ini akan dicantumkan dalam amar keputusan, akan tetapi ""dissenting opinion"" tidak akan menjadikan sebuah preseden yang mengikat atau menjadi bagian dari keputusan penghakiman.",1
1010569,mengikat,2203,"Pendapat berbeda umumnya berada dalam hukum peradilan tingkat tinggi adalah pendapat dari satu atau lebih, dari hakim dalam membuat pernyataan yang memperlihatan ketidaksetujuan terhadap putusan penghakiman dari mayoritas hakim dalam majelis hakim yang membuat keputusan penghakiman di dalam sebuah sidang pengadilan, pendapat ini akan dicantumkan dalam amar keputusan, akan tetapi ""dissenting opinion"" tidak akan menjadikan sebuah preseden yang mengikat atau menjadi bagian dari keputusan penghakiman.",1
1010569,mengikat,2303,"Pendapat ini akan dicantumkan dalam amar keputusan, akan tetapi ""dissenting opinion"" tidak akan menjadikan sebuah preseden yang mengikat atau menjadi bagian dari keputusan penghakiman.",1
1010611,mengikat,2202,Gerakan yang dipelopori Habib Ali ternyata mampu mengikat sejumlah besar pemuka Islam dari berbagai latar belakang yang berbeda ke dalam satu shaf lurus yang panjang untuk bersama-sama menanggapi sebuah isu internasional dengan satu suara bulat yang tidak terpecah-pecah.,2
1010611,mengikat,2302,Gerakan yang dipelopori Habib Ali ternyata mampu mengikat sejumlah besar pemuka Islam dari berbagai latar belakang yang berbeda ke dalam satu shaf lurus yang panjang untuk bersama-sama menanggapi sebuah isu internasional dengan satu suara bulat yang tidak terpecah-pecah.,1
1010625,mengikat,2204,"Energi tersebut, selanjutnya digunakan untuk mengikat senyawa-senyawa sederhana tersebut menjadi senyawa yang lebih kompleks.",2
1010625,mengikat,2301,"Energi tersebut, selanjutnya digunakan untuk mengikat senyawa-senyawa sederhana tersebut menjadi senyawa yang lebih kompleks.",1
1010665,mengikat,2204,"Lektin adalah protein mengikat sel tubuh pada glikoprotein dan glikolipid yang terekspresi pada permukaan sel, khususnya pada molekul glukosanya, dan memiliki kemampuan untuk membuat sel tersebut menggumpal.",1
1010665,mengikat,2204,"Lektin adalah protein mengikat sel tubuh pada glikoprotein dan glikolipid yang terekspresi pada permukaan sel, khususnya pada molekul glukosanya; dan memiliki kemampuan untuk membuat sel tersebut menggumpal.",2
1010684,mengikat,2201,"Hg (senyawa anorganik) dapat mengikat karbon, membentuk senyawa organomerkuri.",1
1010684,mengikat,2204,"Hg (senyawa anorganik) dapat mengikat karbon, membentuk senyawa organomerkuri.",2
1010702,mengikat,2201,EAAT5 mengikat DLG4 pada domain PDZ.,1
1010702,mengikat,2204,EAAT5 mengikat DLG4 pada domain PDZ.,2
1010757,mengikat,2201,"Thomas membuka pintu kemudi mobil itu dan mendapati Angela menusuk matanya dengan pulpen, lalu mengikat Thomas di mobil itu.",2
1010757,mengikat,2301,"Thomas membuka pintu kemudi mobil itu dan mendapati Angela menusuk matanya dengan pulpen, lalu mengikat Thomas di mobil itu.",1
1010768,mengikat,2201,"Hemoglobin mengikat , mengubah warnanya dari merah kebiruan menjadi merah cerah.",2
1010768,mengikat,2204,"Hemoglobin mengikat , mengubah warnanya dari merah kebiruan menjadi merah cerah.",1
1011047,mengisi,3202,"Untuk mengisi kekosongan di Sintang, Mgr.",1
1011047,mengisi,3204,"Untuk mengisi kekosongan di Sintang, Mgr.",1
1011047,mengisi,3204,"Untuk mengisi kekosongan di Sintang, Mgr. Agus ditugaskan menjadi Administrator Apostolik sampai ditahbiskannya penggantinya di Sintang, yakni Mgr. Samuel Oton Sidin, O.F.M. Cap.",1
1011107,mengisi,3201,Aplikasi BimaTri yang dirilis oleh 3 Indonesia adalah aplikasi teknologi informasi dan komunikasi yang ditujukan untuk mempermudah pengguna operator seluler Tri untuk mengetahui dan mengisi ulang pulsa Tri.,2
1011107,mengisi,3203,Aplikasi BimaTri yang dirilis oleh 3 Indonesia adalah aplikasi teknologi informasi dan komunikasi yang ditujukan untuk mempermudah pengguna operator seluler Tri untuk mengetahui dan mengisi ulang pulsa Tri.,1
1011318,mengisi,3201,"Setelah mengikuti audisi untuk mengisi salah satu program komedi di Jawa Pos Media Televisi (JTV) dan menang sebagai juara pertama, kondisi keuangan Akbar mulai meningkat sedikit.",1
1011318,mengisi,3202,"Setelah mengisi salah satu program komedi di Jawa Pos Media Televisi (JTV), kondisi keuangan Akbar mulai meningkat sedikit.",1
1011318,mengisi,3204,"Setelah mengikuti audisi untuk mengisi salah satu program komedi di Jawa Pos Media Televisi (JTV) dan menang sebagai juara pertama, kondisi keuangan Akbar mulai meningkat sedikit.",1
1011468,mengisi,3201,"Meskipun Musso tidak mengisi suara karakter utama, peran barunya memungkinkan dia mendapat bagian berbicara lebih banyak.",1
1011468,mengisi,3203,"Namun, mereka senang dengan Musso sehingga dipakai untuk mengisi suara karakter Jeremy Johnson.",1
1011468,mengisi,3204,"Namun, mereka senang dengan Musso sehingga dipakai untuk mengisi suara karakter Jeremy Johnson; Meskipun Musso tidak mengisi suara karakter utama, peran barunya memungkinkan dia mendapat bagian berbicara lebih banyak.",1
1011471,mengisi,3202,Aktivitas kesehariannya lebih banyak digunakan untuk memenuhi undangan dan mengisi seminar dan ceramah.,1
1011471,mengisi,3202,"Aktivitas kesehariannya lebih banyak digunakan untuk memenuhi undangan mengisi seminar dan ceramah, di samping juga menulis novel yang menjadi pekerjaan utamanya dan sesekali menulis skenario sinetron untuk Sinemart (sebuah rumah produksi yang menaungi karya-karyanya di dunia perfilman dan persinetronan).",2
1011673,mengisi,3201,"Adit dan sanggar Ananda jadi pionir sanggar anak-anak yang paling aktif membuat dan mengisi berbagai tayangan televisi, mulai dari iklan-iklan TV dan media cetak sampai sinetron drama, misteri, laga, dan komedi.",1
1011673,mengisi,3203,"Adit dan sanggar Ananda jadi pionir sanggar anak-anak yang paling aktif membuat dan mengisi berbagai tayangan televisi, mulai dari iklan-iklan TV dan media cetak sampai sinetron drama, misteri, laga, dan komedi.",1
1011673,mengisi,3204,"Adit dan sanggar Ananda jadi pionir sanggar anak-anak yang paling aktif membuat dan mengisi berbagai tayangan televisi, mulai dari iklan-iklan TV dan media cetak sampai sinetron drama, misteri, laga, dan komedi.",1
1011779,mengisi,3201,"Sering mengisi acara ""open mic"" yang diadakan komunitasnya maupun memenuhi undangan komunitas Stand Up Indo se Jabodetabek untuk tampil ber ""stand up comedy"", nama Dicky sebagai komika mulai dikenal di akhir 2014.",1
1011779,mengisi,3203,"Sering mengisi acara ""open mic"" yang diadakan komunitasnya maupun memenuhi undangan komunitas Stand Up Indo se Jabodetabek untuk tampil ber ""stand up comedy"", nama Dicky sebagai komika mulai dikenal di akhir 2014.",1
